SYSTEM,
SYSTEM,MEMORIZATION,POINT-BASED,AS POWERS,SKILL-BASED
POLARITIES,ICE_FIRE
OBJECTS, EXPENDABLE,CHARGED,PERIODIC, RESTRICTED,RANDOM,SLOT, FAULTY,SKILL USE, CURSED
data/images/cardinalmask.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/border2.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/Splash2.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/tilemap.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/tilemap2.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/tile1.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/default_background.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/Splash2.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/cardinal.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/nethack.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/city_icons.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/standardbutton.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/equipment.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/mini-pc-sheet.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/options.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/face_sprites.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/PollexiaMap.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/dungeon.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/spellbook_chaos.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/pic.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/create.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/FireAnimations.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/menu.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/backpanel.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/logo.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/menu_background.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/charsheet.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/buttonsmisc.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/chapterimages.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/Title BG.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/pqpc_dialoguemain.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/BattleBG.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/gameover.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
data/images/vpl_nearlytropical3animated.bmp,IMAGE_BITMAP,0,0,LR_CREATEDIBSECTION | LR_LOADFROMFILE
IMAGE PATH, TYPE, PARAM 1, PARAM 2, PARAM 3
